country,code
Austria,AUT (818Kb)
Belarus,BLR (1036Kb)
Belgium,BEL (309Kb)
Bulgaria,BGR (1134Kb)
Canada,CAN (1691Kb)
Chile,CHL (268Kb)
Croatia,HRV (422Kb)
Czechia,CZE (1478Kb)
Denmark,DNK (1394Kb)
Estonia,EST (1090Kb)
Finland,FIN (1110Kb)
France,FRATNP (371Kb)
Germany,DEUTNP (440Kb)
"Germany, West",DEUTW (437Kb)
"Germany, East",DEUTE (803Kb)
Hungary,HUN (1565Kb)
Iceland,ISL (501Kb)
Italy,ITA (529Kb)
Japan,JPN (1112Kb)
Lithuania,LTU (1058Kb)
Netherlands,NLD (1331Kb)
Norway,NOR (1143Kb)
Poland,POL (876Kb)
Portugal,PRT (1203Kb)
Republic of Korea,KOR (418Kb)
Russia,RUS (1225Kb)
Slovakia,SVK (1406Kb)
Slovenia,SVN (658Kb)
Spain,ESP (1230Kb)
Sweden,SWE (1639Kb)
Switzerland,CHE (752Kb)
Taiwan,TWN (798Kb)
Ukraine,UKR (1104Kb)
United Kingdom,GBR_NP (333Kb)
"United Kingdom, England and Wales",GBRTENW (510Kb)
"United Kingdom, Scotland",GBR_SCO (449Kb)
"United Kingdom, Northern Ireland",GBR_NIR (447Kb)
United States of America,USA (1955Kb)
